"BF_annotation","apap_NGenes","co_NGenes","conditioned_NGenes","apap_Direction","co_Direction","conditioned_Direction","apap_PValue","co_PValue","conditioned_PValue","apap_FDR","co_FDR","conditioned_FDR"
"response to lipopolysaccharide",5,5,5,"Up","Up","Up",0.00720785100438429,0.0236914317078581,0.00868396532042387,0.0187876772081492,0.0530554597401329,0.0186587903506405
"response to molecule of bacterial origin",5,5,5,"Up","Up","Up",0.00720785100438429,0.0236914317078581,0.00868396532042387,0.0187876772081492,0.0530554597401329,0.0186587903506405
"response to oxidative stress",19,19,19,"Up","Up","Up",0.417516949299147,1.21639408008796e-05,0.000963823873515188,0.557477442998879,0.000161172215611654,0.00312751012018194
"response to oxygen levels",6,6,6,"Up","Up","Up",0.155511397172916,3.41783981589298e-06,0.000534690853476642,0.262857311666432,4.94033209751803e-05,0.00193217831142696
"response to starvation",6,6,6,"Up","Up","Up",3.07637042687555e-05,0.616127023444769,3.06297274413911e-06,0.000257443630459586,0.783713573821746,3.74625127937014e-05
"response to topologically incorrect protein",8,8,8,"Up","Up","Up",0.00033130660454831,0.384624391889864,9.16840619381477e-08,0.00149862814339751,0.527200675090417,2.42962764136091e-06
"response to toxic substance",8,8,8,"Down","Down","Down",0.157053110744095,0.0253101277774412,0.218359629779822,0.262857311666432,0.0558931988418493,0.337079428495065
"response to tumor necrosis factor",15,15,15,"Up","Up","Down",0.484250512961815,0.0295122475281618,0.565195247579437,0.595505503456995,0.0634114507699692,0.654807194045973
"response to unfolded protein",8,8,8,"Up","Up","Up",0.00033130660454831,0.384624391889864,9.16840619381477e-08,0.00149862814339751,0.527200675090417,2.42962764136091e-06
"ribonucleoside triphosphate biosynthetic process",15,15,15,"Up","Up","Up",0.777378981964242,0.00180321004930372,0.87766788356334,0.80786443223735,0.00640521797287673,0.888848366156504
"ribonucleoside triphosphate metabolic process",12,12,12,"Up","Up","Up",0.438151659889324,0.0787274291469733,0.525516830594282,0.557477442998879,0.134598507896438,0.623561015406648
"ribonucleotide biosynthetic process",12,12,12,"Up","Up","Up",0.311858585657357,0.0787274291469733,0.525516830594282,0.438809868314334,0.134598507896438,0.623561015406648
"ribonucleotide metabolic process",16,16,16,"Up","Up","Up",0.199822485773889,0.00263466908083254,0.296976145652296,0.317717752380483,0.00854923232351784,0.417869089900133
"ribose phosphate biosynthetic process",12,12,12,"Up","Up","Up",0.311858585657357,0.0787274291469733,0.525516830594282,0.438809868314334,0.134598507896438,0.623561015406648
"ribose phosphate metabolic process",16,16,16,"Up","Up","Up",0.199822485773889,0.00263466908083254,0.296976145652296,0.317717752380483,0.00854923232351784,0.417869089900133
"ribosomal large subunit assembly",6,6,6,"Up","Down","Up",0.00522404098468122,0.987568361047136,0.000534690853476642,0.0145723248520055,0.988598665870567,0.00193217831142696
"ribosomal large subunit biogenesis",7,7,7,"Up","Down","Up",0.00130808342881617,0.986633902618346,0.000796103954096426,0.00433302635795355,0.988598665870567,0.00275175062394199
"ribosomal small subunit biogenesis",15,15,15,"Up","Down","Up",1.09167323711003e-08,0.514339975632534,1.73115719335572e-08,5.78586815668318e-07,0.693051323098075,9.17513312478532e-07
"ribosome assembly",13,13,13,"Up","Up","Up",1.26823313722289e-05,0.750361029154794,1.06162454668835e-06,0.000126030668011525,0.910743539203147,1.40665252436206e-05
"ribosome biogenesis",31,31,31,"Up","Up","Up",2.29345561153758e-09,0.705032733267332,4.10346598318688e-10,1.82329721117238e-07,0.862309266073121,3.26225545663357e-08
"RNA catabolic process",5,5,5,"Up","Up","Up",0.0209257903569839,0.00462894937460616,0.00527870888311327,0.0475314380965777,0.0122667158427063,0.0119902101773573
"RNA localization",7,7,7,"Up","Up","Up",0.493677428845351,0.000898155861148512,0.0170720705811745,0.595505503456995,0.00366171235699009,0.0352527171741136
"RNA splicing, via transesterification reactions",19,19,19,"Down","Down","Down",1.270730633485e-06,0.979090192593043,8.82930010397109e-07,2.24495745249016e-05,0.988598665870567,1.27623519684673e-05
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19,19,19,"Down","Down","Down",1.270730633485e-06,0.979090192593043,8.82930010397109e-07,2.24495745249016e-05,0.988598665870567,1.27623519684673e-05
"rRNA metabolic process",20,20,20,"Up","Down","Up",2.74114469979449e-06,0.5755497338508,1.17401512778102e-05,4.35842007267323e-05,0.769011829262834,9.82495913656005e-05
"rRNA processing",16,16,16,"Up","Down","Up",1.08029185947064e-07,0.216350184653118,1.13838689222508e-05,4.29416014139581e-06,0.333977469513065,9.82495913656005e-05
"signal transduction by p53 class mediator",6,6,6,"Up","Down","Up",0.000131439052816849,0.987568361047136,9.08262383183114e-05,0.000746386049924252,0.988598665870567,0.000424746232135633
"temperature homeostasis",9,9,9,"Up","Down","Up",0.149907463608153,0.663434073793066,0.662574414271154,0.262857311666432,0.81772106769843,0.72163009891157
"toll-like receptor signaling pathway",5,5,5,"Up","Up","Up",0.0533968919828118,0.0905075427444747,0.520267968875338,0.110261114613858,0.148357724704861,0.623561015406648
"wound healing",6,6,6,"Up","Up","Down",0.695247731845856,0.308519441628747,0.234744996314305,0.746921549753318,0.434111426716556,0.339313221945222
