"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","cluster_id"
"26","GO:1902105","regulation of leukocyte differentiation","7/64","391/21261",0.000169993633664854,0.0136142727482896,0.0105497193249218,"ENSG00000075624/ENSG00000111859/ENSG00000122641/ENSG00000144802/ENSG00000163874/ENSG00000184371/ENSG00000204287",7,"4"
"27","GO:0060603","mammary gland duct morphogenesis","3/64","37/21261",0.000187882846156237,0.0141235729805154,0.0109443767995765,"ENSG00000109321/ENSG00000140464/ENSG00000184371",3,"4"
"28","GO:0007160","cell-matrix adhesion","6/64","279/21261",0.000191688015479308,0.0141235729805154,0.0109443767995765,"ENSG00000072110/ENSG00000137801/ENSG00000159840/ENSG00000162692/ENSG00000166923/ENSG00000184371",6,"4"
"29","GO:0051017","actin filament bundle assembly","5/64","179/21261",0.000204046860658964,0.0144559352820697,0.011201924819982,"ENSG00000072110/ENSG00000111859/ENSG00000122786/ENSG00000140416/ENSG00000159840",5,"4"
"30","GO:0061572","actin filament bundle organization","5/64","183/21261",0.000226077631994803,0.0154235184494232,0.0119517063931756,"ENSG00000072110/ENSG00000111859/ENSG00000122786/ENSG00000140416/ENSG00000159840",5,"4"
"31","GO:0071560","cellular response to transforming growth factor beta stimulus","6/64","310/21261",0.000337355312886588,0.0221931602263248,0.0171975114388802,"ENSG00000108821/ENSG00000113083/ENSG00000137801/ENSG00000140464/ENSG00000144802/ENSG00000159840",6,"4"
"32","GO:0071559","response to transforming growth factor beta","6/64","316/21261",0.00037356387104252,0.0231000554619305,0.0179002658474071,"ENSG00000108821/ENSG00000113083/ENSG00000137801/ENSG00000140464/ENSG00000144802/ENSG00000159840",6,"4"
"33","GO:0010632","regulation of epithelial cell migration","6/64","318/21261",0.000386287054795539,0.0231000554619305,0.0179002658474071,"ENSG00000106211/ENSG00000137801/ENSG00000138772/ENSG00000163874/ENSG00000168874/ENSG00000183287",6,"4"
"34","GO:0099175","regulation of postsynapse organization","4/64","114/21261",0.000388763148382109,0.0231000554619305,0.0179002658474071,"ENSG00000109971/ENSG00000111859/ENSG00000113758/ENSG00000163110",4,"4"
"35","GO:0055001","muscle cell development","5/64","210/21261",0.000425793513631377,0.0245097391284062,0.0189926317264522,"ENSG00000072110/ENSG00000113083/ENSG00000140416/ENSG00000163110/ENSG00000171345",5,"4"
"36","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","6/64","329/21261",0.000462459050565359,0.0258136233679209,0.0200030134789993,"ENSG00000113083/ENSG00000122641/ENSG00000137801/ENSG00000163430/ENSG00000166923/ENSG00000269821",6,"4"
"37","GO:0060443","mammary gland morphogenesis","3/64","51/21261",0.000488662687773304,0.0264740197317184,0.0205147555610093,"ENSG00000109321/ENSG00000140464/ENSG00000184371",3,"4"
"38","GO:0010811","positive regulation of cell-substrate adhesion","4/64","126/21261",0.00056763186997698,0.0287900039672687,0.0223094150406403,"ENSG00000111859/ENSG00000144810/ENSG00000179820/ENSG00000184371",4,"4"
"39","GO:0060346","bone trabecula formation","2/64","12/21261",0.000577395449901865,0.0287900039672687,0.0223094150406403,"ENSG00000108821/ENSG00000166923",2,"4"
"40","GO:0034661","ncRNA catabolic process","3/64","54/21261",0.000578300839733411,0.0287900039672687,0.0223094150406403,"ENSG00000083520/ENSG00000163874/ENSG00000269821",3,"4"
"41","GO:0045622","regulation of T-helper cell differentiation","3/64","55/21261",0.000610355252995651,0.0295861677899471,0.0229263635197258,"ENSG00000144802/ENSG00000163874/ENSG00000204287",3,"4"
"42","GO:1902107","positive regulation of leukocyte differentiation","5/64","232/21261",0.000669192198717155,0.030816300750925,0.0238795953015911,"ENSG00000075624/ENSG00000111859/ENSG00000144802/ENSG00000184371/ENSG00000204287",5,"4"
"43","GO:1903708","positive regulation of hemopoiesis","5/64","232/21261",0.000669192198717155,0.030816300750925,0.0238795953015911,"ENSG00000075624/ENSG00000111859/ENSG00000144802/ENSG00000184371/ENSG00000204287",5,"4"
"44","GO:0002158","osteoclast proliferation","2/64","14/21261",0.000793019937221793,0.0356278713259157,0.0276080881867202,"ENSG00000166923/ENSG00000184371",2,"4"
"45","GO:0030728","ovulation","2/64","15/21261",0.000913248410249578,0.0400524659923744,0.0310367128896849,"ENSG00000122641/ENSG00000180530",2,"4"
"46","GO:0045619","regulation of lymphocyte differentiation","5/64","251/21261",0.000952677624398689,0.040810050794009,0.0316237664304681,"ENSG00000075624/ENSG00000122641/ENSG00000144802/ENSG00000163874/ENSG00000204287",5,"4"
"47","GO:0002688","regulation of leukocyte chemotaxis","4/64","147/21261",0.00101019251342264,0.0417128396268243,0.0323233387816296,"ENSG00000111859/ENSG00000137801/ENSG00000166923/ENSG00000184371",4,"4"
"48","GO:0032354","response to follicle-stimulating hormone","2/64","16/21261",0.00104168872032243,0.0417128396268243,0.0323233387816296,"ENSG00000122641/ENSG00000182752",2,"4"
"49","GO:0061430","bone trabecula morphogenesis","2/64","16/21261",0.00104168872032243,0.0417128396268243,0.0323233387816296,"ENSG00000108821/ENSG00000166923",2,"4"
"50","GO:0090287","regulation of cellular response to growth factor stimulus","6/64","387/21261",0.00107757946205857,0.042231944023657,0.0327255935173889,"ENSG00000113083/ENSG00000137801/ENSG00000163430/ENSG00000166923/ENSG00000183287/ENSG00000269821",6,"4"
"51","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","3/64","68/21261",0.00113394304214863,0.042862298479345,0.0332140560820571,"ENSG00000144802/ENSG00000163874/ENSG00000204287",3,"4"
"52","GO:0071675","regulation of mononuclear cell migration","4/64","154/21261",0.00120011716782728,0.042862298479345,0.0332140560820571,"ENSG00000111859/ENSG00000137801/ENSG00000166923/ENSG00000184371",4,"4"
"53","GO:0006986","response to unfolded protein","4/64","155/21261",0.00122915156591734,0.042862298479345,0.0332140560820571,"ENSG00000106211/ENSG00000109971/ENSG00000137801/ENSG00000178607",4,"4"
"54","GO:0050920","regulation of chemotaxis","5/64","266/21261",0.00123312488259225,0.042862298479345,0.0332140560820571,"ENSG00000106211/ENSG00000111859/ENSG00000137801/ENSG00000166923/ENSG00000184371",5,"4"
"55","GO:0097191","extrinsic apoptotic signaling pathway","5/64","266/21261",0.00123312488259225,0.042862298479345,0.0332140560820571,"ENSG00000122641/ENSG00000123689/ENSG00000137801/ENSG00000140464/ENSG00000144802",5,"4"
"56","GO:2000630","positive regulation of miRNA metabolic process","3/64","70/21261",0.00123328003225043,0.042862298479345,0.0332140560820571,"ENSG00000163874/ENSG00000168874/ENSG00000269821",3,"4"
"57","GO:0031960","response to corticosteroid","4/64","162/21261",0.00144632888410292,0.048543016491892,0.0376160525532919,"ENSG00000109321/ENSG00000122641/ENSG00000138772/ENSG00000182752",4,"4"
"58","GO:0014706","striated muscle tissue development","5/64","276/21261",0.00145134306470193,0.048543016491892,0.0376160525532919,"ENSG00000113083/ENSG00000140416/ENSG00000163110/ENSG00000166923/ENSG00000181744",5,"4"
"59","GO:0010587","miRNA catabolic process","2/64","19/21261",0.00147579203232679,0.048543016491892,0.0376160525532919,"ENSG00000163874/ENSG00000269821",2,"4"
"60","GO:0002181","cytoplasmic translation","29/54","178/21261",7.49218607077052e-47,7.28240486078894e-44,6.23823071787314e-44,"ENSG00000060138/ENSG00000071082/ENSG00000089009/ENSG00000105193/ENSG00000105372/ENSG00000108107/ENSG00000108298/ENSG00000110700/ENSG00000125691/ENSG00000130255/ENSG00000136942/ENSG00000137154/ENSG00000140988/ENSG00000145592/ENSG00000147677/ENSG00000162244/ENSG00000164587/ENSG00000170889/ENSG00000171863/ENSG00000172809/ENSG00000174748/ENSG00000175390/ENSG00000177600/ENSG00000197756/ENSG00000197958/ENSG00000198034/ENSG00000198918/ENSG00000213741/ENSG00000221983",29,"7"
"61","GO:0042274","ribosomal small subunit biogenesis","9/54","128/21261",3.30715810615379e-11,1.60727883959074e-08,1.37682213787771e-08,"ENSG00000105193/ENSG00000105372/ENSG00000110700/ENSG00000137154/ENSG00000164587/ENSG00000170889/ENSG00000171863/ENSG00000172809/ENSG00000198034",9,"7"
"62","GO:0042254","ribosome biogenesis","12/54","365/21261",9.822409690963e-11,3.18246073987201e-08,2.72614949668482e-08,"ENSG00000089009/ENSG00000105193/ENSG00000105372/ENSG00000110700/ENSG00000136942/ENSG00000137154/ENSG00000164587/ENSG00000170889/ENSG00000171863/ENSG00000172809/ENSG00000198034/ENSG00000242485",12,"7"
"63","GO:0022618","protein-RNA complex assembly","8/54","266/21261",3.41799320603504e-07,8.30572349066515e-05,7.11482269993084e-05,"ENSG00000089009/ENSG00000105372/ENSG00000115128/ENSG00000147677/ENSG00000164587/ENSG00000172809/ENSG00000175390/ENSG00000242485",8,"7"
"64","GO:0071826","protein-RNA complex organization","8/54","274/21261",4.27919546085862e-07,8.31875597590916e-05,7.12598654639825e-05,"ENSG00000089009/ENSG00000105372/ENSG00000115128/ENSG00000147677/ENSG00000164587/ENSG00000172809/ENSG00000175390/ENSG00000242485",8,"7"
"65","GO:0042255","ribosome assembly","5/54","65/21261",6.4326529468888e-07,0.000104208977739599,8.92671663331411e-05,"ENSG00000089009/ENSG00000105372/ENSG00000164587/ENSG00000172809/ENSG00000242485",5,"7"
"66","GO:1901798","positive regulation of signal transduction by p53 class mediator","4/54","31/21261",1.1111795163196e-06,0.000154295212837521,0.000132171879309594,"ENSG00000125691/ENSG00000145592/ENSG00000170315/ENSG00000171863",4,"7"
"67","GO:0051438","regulation of ubiquitin-protein transferase activity","4/54","42/21261",3.871832706384e-06,0.000470427673825657,0.000402976272467072,"ENSG00000108106/ENSG00000125691/ENSG00000140988/ENSG00000171863",4,"7"
"68","GO:1904666","regulation of ubiquitin protein ligase activity","3/54","19/21261",1.45814435176658e-05,0.00157479589990791,0.00134899670438288,"ENSG00000108106/ENSG00000125691/ENSG00000171863",3,"7"
"69","GO:0000028","ribosomal small subunit assembly","3/54","20/21261",1.71238137265958e-05,0.00166443469422511,0.00142578280607761,"ENSG00000105372/ENSG00000164587/ENSG00000172809",3,"7"
