"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
16,0,20,0.15,14,3.30621991163015,10.6937800883699,0.691389926271256,0
16,0,20,0.2,13,3.37260294859467,9.62739705140533,NA,0
16,0,20,0.25,10,3.609060367194,6.390939632806,NA,0
16,0,20,0.3,9,3.51822042225787,5.48177957774213,NA,0
16,0,30,0.15,12,3.19000612599717,8.80999387400283,0.693962949477906,0
16,0,30,0.2,11,3.2169805700769,7.7830194299231,NA,0
16,0,30,0.25,8,3.41701008927504,4.58298991072496,NA,0
16,0,30,0.3,7,3.43277363344427,3.56722636655573,NA,0
16,0,40,0.15,11,2.87081551697324,8.12918448302676,0.690018023899268,0
16,0,40,0.2,10,2.84239079888687,7.15760920111313,NA,0
16,0,40,0.25,7,2.94039952198804,4.05960047801196,NA,0
16,0,40,0.3,6,2.93707097448568,3.06292902551432,NA,0
16,0,50,0.15,11,2.84581964368416,8.15418035631584,0.694199660763806,0
16,0,50,0.2,10,2.93860058789325,7.06139941210675,0.684330635681244,0
16,0,50,0.25,7,3.08147971423225,3.91852028576775,NA,0
16,0,50,0.3,6,3.12235794707406,2.87764205292594,NA,0
16,0,60,0.15,10,2.82888693918828,7.17111306081172,0.686767365383846,0
16,0,60,0.2,9,2.93028677622616,6.06971322377384,0.674216567874757,0
16,0,60,0.25,7,3.08502884702493,3.91497115297507,0.620502510160028,0
16,0,60,0.3,6,3.12422993946335,2.87577006053665,NA,0
16,0,70,0.15,10,2.82411515398944,7.17588484601056,0.70781893647701,0
16,0,70,0.2,7,3.07665554237356,3.92334445762644,0.635229925800382,0
16,0,70,0.25,7,3.07665554237356,3.92334445762644,0.635229925800382,0
16,0,70,0.3,6,3.12310058360218,2.87689941639782,0.569630030311565,0
16,0,80,0.15,10,2.82411515398944,7.17588484601056,0.70781893647701,0
16,0,80,0.2,7,3.07665554237356,3.92334445762644,0.635229925800382,0
16,0,80,0.25,7,3.07665554237356,3.92334445762644,0.635229925800382,0
